iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,0.974821150302887,1.0996467246401131,0.12554383277893066,0.5442142486572266,0.34553855657577515,0.0181950181722641,0.06635649502277374,0.0005168174393475056,1.0,1.0,1.0,1.0,1.0
100,0.28543856739997864,1.0326289406804623,11.49074935913086,0.22696398198604584,0.0003223655221518129,0.03684955835342407,0.020792057737708092,0.000510605750605464,1.0,1.0,1.0,1.0,1.0
200,0.24071462452411652,1.0397618221726803,22.732175827026367,0.19662342965602875,8.923753921408206e-05,0.04001534730195999,0.003370426595211029,0.0006161741330288351,1.0,1.0,1.0,1.0,1.0
300,0.1621570885181427,1.0518839901860924,36.45901918411255,0.11370828747749329,4.212963176541962e-05,0.03935517743229866,0.002346690744161606,0.006704799830913544,1.0,1.0,1.0,1.0,1.0
400,0.1325831413269043,1.036514912289886,109.08825659751892,0.08628692477941513,0.0003380145935807377,0.02466200850903988,0.003295676317065954,0.018000518903136253,1.0,1.0,1.0,1.0,1.0
500,0.07588335126638412,1.0638243359971304,157.44766664505005,0.04843417555093765,0.00015065446496009827,0.01043466292321682,0.004712212830781937,0.012151653878390789,1.0,1.0,1.0,1.0,1.0
600,0.04856302589178085,1.0746302498708529,198.48815417289734,0.02560427039861679,0.00024752714671194553,0.00826252344995737,0.0027463820297271013,0.01170232705771923,1.0,1.0,1.0,1.0,1.0
700,0.04593277722597122,1.0957610022030364,232.80580949783325,0.024979790672659874,0.0005360770737752318,0.004432004876434803,0.0015183438081294298,0.014466560445725918,1.0,1.0,1.0,1.0,1.0
800,0.05192693695425987,1.0852068715502916,268.62853479385376,0.022599654272198677,0.00016750626673456281,0.003797779558226466,0.004228575620800257,0.0211334228515625,1.0,1.0,1.0,1.0,1.0
900,0.035634420812129974,1.1003650442145052,303.6354331970215,0.010378090664744377,3.219697464373894e-05,0.002883219625800848,0.003247724147513509,0.019093191251158714,1.0,1.0,1.0,1.0,1.0
1000,0.03508499264717102,1.0958082759757088,340.3027272224426,0.011213728226721287,3.885513069690205e-05,0.0033829438034445047,0.010017456486821175,0.010432006791234016,1.0,1.0,1.0,1.0,1.0
1100,0.636994481086731,1.111058811334619,377.4385290145874,0.017577342689037323,0.000213289400562644,0.0035657277330756187,0.5977017283439636,0.017936430871486664,1.0,1.0,1.0,1.0,1.0
1200,0.03241381794214249,1.0887701813390573,451.17628169059753,0.010659581050276756,0.0001832420821301639,0.0025604956317692995,0.0073366169817745686,0.011673880741000175,1.0,1.0,1.0,1.0,1.0
1300,0.022182727232575417,1.0717564042784622,512.3709831237793,0.00544061791151762,9.715016494737938e-05,0.0014766707317903638,0.004670139867812395,0.010498149320483208,1.0,1.0,1.0,1.0,1.0
1400,0.02542521432042122,1.0585775333149106,591.7209606170654,0.005428154021501541,0.0003316956281196326,0.0020468051079660654,0.007243229541927576,0.010375330224633217,1.0,1.0,1.0,1.0,1.0
1500,0.014178268611431122,1.0686806020082618,707.3324382305145,0.0033924835734069347,3.0320104997372255e-05,0.0008969989139586687,0.0015860004350543022,0.008272465318441391,1.0,1.0,1.0,1.0,1.0
1600,0.035847585648298264,1.0624758436883588,840.527731180191,0.003113536396995187,0.0004609114257618785,0.0011903814738616347,0.019253626465797424,0.011829129420220852,1.0,1.0,1.0,1.0,1.0
1700,0.018313992768526077,1.0664454545126638,1020.1813006401062,0.003071638522669673,5.687281009159051e-05,0.0010246953461319208,0.003420301014557481,0.010740485042333603,1.0,1.0,1.0,1.0,1.0
1800,0.021907266229391098,1.0697899559515962,1238.4817185401917,0.0033255668822675943,0.00016202632104977965,0.0009348824387416244,0.008520561270415783,0.008964229375123978,1.0,1.0,1.0,1.0,1.0
1900,0.019856318831443787,1.0580725297798708,1457.2203907966614,0.0032682830933481455,5.156221232027747e-05,0.0010448757093399763,0.00493894936516881,0.010552649386227131,1.0,1.0,1.0,1.0,1.0
2000,0.010667098686099052,1.063059745592221,1680.1624946594238,0.0018785041756927967,3.536106669344008e-05,0.0005108690820634365,0.0006269727600738406,0.007615392096340656,1.0,1.0,1.0,1.0,1.0
2100,0.01126843225210905,1.0595166414400716,1898.9342703819275,0.0017766623059287667,3.839881901512854e-05,0.0003696350031532347,0.0034998306073248386,0.00558390561491251,1.0,1.0,1.0,1.0,1.0
2200,0.009311824105679989,1.0557575458402215,2087.771947145462,0.0010898251784965396,1.7847072740551084e-05,0.0004388971719890833,0.0003789462789427489,0.007386308163404465,1.0,1.0,1.0,1.0,1.0
2300,0.005727119743824005,1.0600694589703161,2254.3099217414856,0.0005552241927944124,7.100417133187875e-05,0.0003099589957855642,0.0009703389368951321,0.003820593236014247,1.0,1.0,1.0,1.0,1.0
2400,0.01050278265029192,1.067301481602708,2391.67040514946,0.0009389951592311263,0.00016164446424227208,0.00040650248411111534,0.005303248763084412,0.0036923920270055532,1.0,1.0,1.0,1.0,1.0
2500,0.006240322720259428,1.058085415266291,2528.335550546646,0.0006096407305449247,5.1807241106871516e-05,0.00035329346428625286,0.0014577368274331093,0.0037678442895412445,1.0,1.0,1.0,1.0,1.0
2600,0.0073869917541742325,1.0591514115511813,2666.8790781497955,0.0004510982253123075,0.00018396314408164471,0.00037124790833331645,0.0013034603325650096,0.005077222362160683,1.0,1.0,1.0,1.0,1.0
2700,0.012481695972383022,1.0592856163019873,2780.1880807876587,0.0034107156097888947,0.00025162906968034804,0.00038988827145658433,0.005671707447618246,0.002757755108177662,1.0,1.0,1.0,1.0,1.0
2800,0.004010721109807491,1.0546653559276162,2843.526862382889,0.000782639894168824,0.00010265634045936167,0.0002401156525593251,0.0004361704341135919,0.0024491390213370323,1.0,1.0,1.0,1.0,1.0
2900,0.004118445795029402,1.0558756447559061,2931.8588654994965,0.00039783434476703405,1.3305269931151997e-05,0.00020959794346708804,0.0003558070748113096,0.003141901222988963,1.0,1.0,1.0,1.0,1.0
3000,0.0030554081313312054,1.0567018292195927,3020.9262635707855,0.00026223427266813815,0.00023543433053418994,0.00024732365272939205,0.00023224714095704257,0.0020781687926501036,1.0,1.0,1.0,1.0,1.0
3100,0.003797780256718397,1.0568925695133429,3098.9591302871704,0.00023645773762837052,3.002960693265777e-05,0.00024777845828793943,0.0006041398155502975,0.002679374534636736,1.0,1.0,1.0,1.0,1.0
3200,0.002919959370046854,1.0561078840908777,3184.2268600463867,0.00021185909281484783,1.8379680113866925e-05,0.00019759003771468997,0.0004744570760522038,0.0020176733378320932,1.0,1.0,1.0,1.0,1.0
3300,0.010549833066761494,1.0583645552447845,3264.1880898475647,0.0003899348375853151,0.0004149140731897205,0.0001680399727774784,0.007220020052045584,0.0023569241166114807,1.0,1.0,1.0,1.0,1.0
3400,0.0037712433841079473,1.0534967147703367,3326.5590114593506,0.0004587824805639684,2.8985265089431778e-05,0.00011011872993549332,0.0010006091324612498,0.0021727478597313166,1.0,1.0,1.0,1.0,1.0
3500,0.004748749081045389,1.0543001406067105,3382.389545917511,0.00020564447913784534,6.521373870782554e-05,9.563456114847213e-05,0.0007820454193279147,0.0036002108827233315,1.0,1.0,1.0,1.0,1.0
3600,0.00268815946765244,1.053447468289041,3438.307517528534,0.00014215806731954217,5.539796256925911e-05,7.458104664692655e-05,7.946976984385401e-05,0.0023365525994449854,1.0,1.0,1.0,1.0,1.0
3700,0.0026215335819870234,1.0535172210516093,3489.068322658539,0.00020019320072606206,4.983595499652438e-05,3.0250188501668163e-05,4.477156835491769e-05,0.002296482678502798,1.0,1.0,1.0,1.0,1.0
3800,0.004263678099960089,1.0533824828228973,3547.7287487983704,0.00022459890169557184,4.277854895917699e-05,9.287668217439204e-05,0.0015723960241302848,0.0023310279939323664,1.0,1.0,1.0,1.0,1.0
