iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,13.593465805053711,2.0448927897801723,1.219153642654419,0.2826319634914398,0.34553855657577515,0.0181950181722641,0.06635649502277374,0.321247935295105,37.31283781345308,1.8266317775322194,46.25706853194784,17.053728259619604,1.379675367157056
100,0.15047520399093628,0.9060810272439218,13.136874198913574,0.0004461781936697662,0.00014828932762611657,0.00011918975360458717,0.0011991830542683601,0.07798374444246292,37.31283781345308,1.8266317775322194,46.25706853194784,17.053728259619604,1.379675367157056
200,0.2133442759513855,0.780837544883743,25.584789752960205,0.0008366135880351067,0.0014141523279249668,0.00017988277249969542,0.007608744781464338,0.046577420085668564,36.78580157171073,2.592589454306325,64.44290739101243,11.713117011866073,1.6786713781704967
300,0.05527644231915474,0.6566144259511145,37.19410490989685,6.557550659636036e-05,0.00013928089174441993,1.7967631720239297e-05,4.831757541978732e-05,0.03024967387318611,36.78580157171073,2.592589454306325,64.44290739101243,11.713117011866073,1.6786713781704967
400,0.03970502316951752,0.5290170901777285,50.2339870929718,4.091499067726545e-05,0.0006749037420377135,1.364382387691876e-05,8.433590119238943e-05,0.017932506278157234,35.653483268726845,2.8314216055076518,74.20689389697534,8.722662275398744,1.928744478917118
500,0.025531835854053497,0.39961496008288616,61.70170617103577,1.8100537999998778e-05,0.0007794292760081589,1.8421565982862376e-05,5.8757374063134193e-05,0.010784253478050232,35.653483268726845,2.8314216055076518,74.20689389697534,8.722662275398744,1.928744478917118
600,0.08209167420864105,0.32609953916970574,73.46702313423157,0.0004843158822041005,0.00047225976595655084,0.00019696309755090624,0.004174898844212294,0.007099277339875698,41.72280099691807,3.1485625206968715,85.02278449446644,7.108908706323158,1.968143101540223
700,0.011330866254866123,0.2474887442793544,84.6489622592926,5.145257091498934e-06,3.177292092004791e-05,8.702309060026892e-06,7.132557948352769e-05,0.0049636694602668285,41.72280099691807,3.1485625206968715,85.02278449446644,7.108908706323158,1.968143101540223
800,0.008872943930327892,0.17465857373753793,97.15964317321777,1.8590846593724564e-05,0.00021043728338554502,5.671624421665911e-06,0.00013869348913431168,0.0029103734996169806,50.876569157439455,3.7032861696743886,84.26198631845443,5.488129581518787,2.0302292541689098
900,0.004999419674277306,0.14252699373665562,108.75903630256653,1.608580873835308e-06,1.3334503819351085e-05,2.6706316020863596e-06,2.738236253208015e-05,0.0022129956632852554,50.876569157439455,3.7032861696743886,84.26198631845443,5.488129581518787,2.0302292541689098
1000,0.003663194365799427,0.10161893810304416,122.78531217575073,4.807270670426078e-07,2.094874253089074e-05,1.1600729976635193e-06,3.681652742670849e-05,0.0016305427998304367,55.621503618392836,4.2685579036635275,86.49825670467797,4.65164769307403,2.008799129691842
1100,0.0026891790330410004,0.07454640324512221,134.7242612838745,2.734054760367144e-07,2.2513600015372504e-06,8.318791628880717e-07,2.0674166080425493e-05,0.0012426512548699975,55.621503618392836,4.2685579036635275,86.49825670467797,4.65164769307403,2.008799129691842
1200,0.0017780554480850697,0.055270202817279374,147.28373789787292,3.2241081271422445e-07,1.5691366570536047e-05,5.893375600862782e-07,1.9992290617665276e-05,0.0007894928567111492,58.13078606056507,4.37952469613995,80.9581187244324,4.520333418475282,1.9664640091062364
1300,0.0020092884078621864,0.04216552750048423,159.2250247001648,1.6364538169000298e-07,2.1549465145653812e-06,4.7309032424891484e-07,1.2742817489197478e-05,0.0009633715962991118,58.13078606056507,4.37952469613995,80.9581187244324,4.520333418475282,1.9664640091062364
1400,0.0016827033832669258,0.0325238042116057,171.71304321289062,9.927457256253547e-08,3.074376081713126e-06,3.9431827758562576e-07,1.7155762179754674e-05,0.0007698333356529474,60.42306655028453,4.4356120064917945,80.09409764915225,4.111591220292649,2.0276440403431817
1500,0.0011879026424139738,0.026369952273314793,183.954692363739,2.0640466402710445e-07,4.4449561755754985e-06,8.792356993581052e-07,1.8087999706040137e-05,0.0004985702107660472,60.42306655028453,4.4356120064917945,80.09409764915225,4.111591220292649,2.0276440403431817
1600,0.0012582254130393267,0.022280582813828588,196.88135266304016,3.645532160589937e-07,2.342894276807783e-06,5.859834004695585e-07,1.685467032075394e-05,0.0005373450694605708,60.47776454534855,4.558999880961544,88.58117446864043,3.818681697066566,2.064273427148658
1700,0.001203289721161127,0.01748477660721227,209.7863907814026,6.243822525675569e-08,4.045258265250595e-06,3.036652174159826e-07,1.2089761185052339e-05,0.0005367531557567418,60.47776454534855,4.558999880961544,88.58117446864043,3.818681697066566,2.064273427148658
1800,0.0009737522341310978,0.014838523900336874,222.19122576713562,1.043877304596208e-07,1.424403308192268e-06,2.5119476276813657e-07,1.0864614523597993e-05,0.0004384189087431878,63.44474119552442,4.626643090448097,92.22064690151906,3.778016987631851,2.0444535363225516
1900,0.0010525744874030352,0.012885617601340858,233.74914121627808,2.3457482711819466e-07,1.8868990991904866e-06,4.3402178562246263e-07,1.0338400898035616e-05,0.0004646118904929608,63.44474119552442,4.626643090448097,92.22064690151906,3.778016987631851,2.0444535363225516
2000,0.001067773555405438,0.011011276859749036,247.3928656578064,2.8803825102841074e-08,1.6553798332097358e-06,1.6344949926860863e-07,9.105676326726098e-06,0.0004951674491167068,61.39572147935009,4.653117602229809,88.76405276607674,3.7700894027639182,2.038633402210093
