iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,0.5878274440765381,1.2148194151096372,0.06662511825561523,0.5699748396873474,0.015126289799809456,0.0025406954810023308,0.0001856327726272866,4.3638731517248175e-10,1.0,1.0,1.0,1.0,1.0
100,0.42223942279815674,1.0390437353130677,6.270249128341675,0.35553672909736633,0.0006645063403993845,0.0647035613656044,0.0013346304185688496,3.1198348349192884e-09,1.0,1.0,1.0,1.0,1.0
200,0.40632164478302,1.0377136237788902,12.486074209213257,0.3352876305580139,0.0058923582546412945,0.05821133777499199,0.006927570328116417,2.744142193478183e-06,1.0,1.0,1.0,1.0,1.0
300,0.3397536873817444,1.0338135203115666,19.40741491317749,0.2559230327606201,0.005297298543155193,0.06517336517572403,0.013322408311069012,3.75931995222345e-05,1.0,1.0,1.0,1.0,1.0
400,0.2953522503376007,1.0184075004161894,26.118069887161255,0.24512821435928345,0.005661414936184883,0.03932026028633118,0.005092291161417961,0.00015006882313173264,1.0,1.0,1.0,1.0,1.0
500,0.3231216371059418,1.0198355513845636,32.3766393661499,0.2430420070886612,0.04932621121406555,0.02722959965467453,0.0032868164125829935,0.00023697657161392272,1.0,1.0,1.0,1.0,1.0
600,0.31155791878700256,1.0181015198636572,38.771634578704834,0.25504612922668457,0.013186628930270672,0.041852716356515884,0.0011451670434325933,0.00032729076338000596,1.0,1.0,1.0,1.0,1.0
700,0.2867946922779083,1.0162455510464123,45.32370066642761,0.2421928495168686,0.00014670220843981951,0.03778515383601189,0.00637391023337841,0.00029609096236526966,1.0,1.0,1.0,1.0,1.0
800,0.25244998931884766,1.0073933599656393,51.729676246643066,0.2166019082069397,0.00021988492517266423,0.03021090291440487,0.004714303649961948,0.0007030197302810848,1.0,1.0,1.0,1.0,1.0
900,0.25454986095428467,1.0099657739382972,58.013630867004395,0.20705653727054596,0.0029038013890385628,0.03865969553589821,0.005469962488859892,0.00045989188947714865,1.0,1.0,1.0,1.0,1.0
1000,0.26725849509239197,1.0075740653074199,64.91727209091187,0.2163780778646469,0.00023992222850210965,0.038754284381866455,0.010936851613223553,0.0009493542602285743,1.0,1.0,1.0,1.0,1.0
1100,0.2617807686328888,1.0026979732203105,71.80547618865967,0.22312107682228088,0.00019325529865454882,0.029680615290999413,0.007756775710731745,0.0010290429927408695,1.0,1.0,1.0,1.0,1.0
1200,0.22688286006450653,0.9998960877658069,79.98317790031433,0.2027989774942398,0.000671234040055424,0.01931404508650303,0.00242443080060184,0.0016741647850722075,1.0,1.0,1.0,1.0,1.0
1300,0.23547300696372986,0.9979067205159297,86.88068556785583,0.19993050396442413,0.0002774624736048281,0.028218375518918037,0.005080278497189283,0.001966387266293168,1.0,1.0,1.0,1.0,1.0
1400,0.2667785882949829,1.0009561320084817,94.17551231384277,0.20609281957149506,0.009917017072439194,0.0419171117246151,0.007282555103302002,0.0015691034495830536,1.0,1.0,1.0,1.0,1.0
1500,0.23611994087696075,0.9990387368976783,101.18868589401245,0.19518700242042542,5.780001447419636e-05,0.03202231973409653,0.006643081549555063,0.0022097353357821703,1.0,1.0,1.0,1.0,1.0
1600,0.25740694999694824,0.9977989552048793,108.96647477149963,0.2101542204618454,8.084552246145904e-05,0.0365162268280983,0.008610972203314304,0.0020447212737053633,1.0,1.0,1.0,1.0,1.0
1700,0.2496788054704666,0.9959507126252792,116.06484413146973,0.2095126509666443,6.297589425230399e-05,0.029989680275321007,0.008018343709409237,0.00209515611641109,1.0,1.0,1.0,1.0,1.0
1800,0.2588373124599457,0.9943965037275233,123.20752453804016,0.2111208736896515,0.00023813547159079462,0.035690613090991974,0.009325539693236351,0.0024621584452688694,1.0,1.0,1.0,1.0,1.0
1900,0.26324164867401123,0.9937388855561184,130.55062460899353,0.21640264987945557,0.00029132195049896836,0.03549318015575409,0.009049281477928162,0.002005230402573943,1.0,1.0,1.0,1.0,1.0
2000,0.20138613879680634,0.9933467066761709,137.33131217956543,0.1735907346010208,0.00016010928084142506,0.018874842673540115,0.004556593485176563,0.0042038545943796635,1.0,1.0,1.0,1.0,1.0
