iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,0.5878274440765381,1.2148194151096372,0.11652374267578125,0.5699748396873474,0.015126289799809456,0.0025406954810023308,0.0001856327726272866,4.3638731517248175e-10,1.0,1.0,1.0,1.0,1.0
100,0.4213193655014038,1.0382955537159888,9.249202489852905,0.3563110828399658,0.00023663087631575763,0.06346309930086136,0.0013085538521409035,2.99761060418291e-09,1.0,1.0,1.0,1.0,1.0
200,0.41648387908935547,1.040576140358813,16.255842208862305,0.33390218019485474,0.021317247301340103,0.05522843822836876,0.006033081095665693,2.9084865218464984e-06,1.0,1.0,1.0,1.0,1.0
300,0.44172221422195435,1.0441411450418374,23.302324056625366,0.355396568775177,0.024051563814282417,0.05961018428206444,0.00266256183385849,1.3233956224212307e-06,1.0,1.0,1.0,1.0,1.0
400,0.3201372027397156,1.0274521135533408,31.0853214263916,0.2638384699821472,0.0006560903857462108,0.0488010048866272,0.006824646145105362,1.698819687590003e-05,1.0,1.0,1.0,1.0,1.0
500,0.2927989661693573,1.0270184451946254,38.7703058719635,0.2403414100408554,0.009906481951475143,0.036595430225133896,0.005887111648917198,6.850375939393416e-05,1.0,1.0,1.0,1.0,1.0
600,0.28840404748916626,1.025364634312689,45.56988835334778,0.21110300719738007,0.02044837176799774,0.05232107639312744,0.004449496511369944,8.20991990622133e-05,1.0,1.0,1.0,1.0,1.0
700,0.32905450463294983,1.01530576418073,52.39308500289917,0.25243350863456726,0.03657715767621994,0.03515559807419777,0.004689361434429884,0.0001988824806176126,1.0,1.0,1.0,1.0,1.0
800,0.31741735339164734,1.028468965898584,59.55225110054016,0.25123560428619385,0.011004292406141758,0.05301785096526146,0.00211187987588346,4.771756357513368e-05,1.0,1.0,1.0,1.0,1.0
900,0.2657467722892761,1.0169267895130483,66.35395646095276,0.21870991587638855,6.927918002475053e-05,0.03965543583035469,0.007135382853448391,0.00017676825518719852,1.0,1.0,1.0,1.0,1.0
1000,0.27285388112068176,1.013481525900451,73.12536549568176,0.2204442322254181,0.0008273953571915627,0.04017278552055359,0.010900819674134254,0.0005086420569568872,1.0,1.0,1.0,1.0,1.0
1100,0.27087894082069397,1.0079915591670683,79.80963563919067,0.23245559632778168,0.0028439622838050127,0.02995188534259796,0.00504548754543066,0.0005820034421049058,1.0,1.0,1.0,1.0,1.0
1200,0.2371675819158554,1.0086795852383978,87.14671897888184,0.20842979848384857,0.000417795468820259,0.025065798312425613,0.0024616390001028776,0.0007925519021227956,1.0,1.0,1.0,1.0,1.0
1300,0.26404765248298645,1.0125305618963971,93.8666479587555,0.22409243881702423,0.00043042065226472914,0.0369592048227787,0.0020100772380828857,0.0005555247189477086,1.0,1.0,1.0,1.0,1.0
1400,0.261837363243103,1.0035641174579337,101.09535050392151,0.20716597139835358,0.00012113670527469367,0.043378159403800964,0.009996899403631687,0.0011752109276130795,1.0,1.0,1.0,1.0,1.0
1500,0.241038516163826,1.0013940250771984,108.28916621208191,0.19592800736427307,0.0020720951724797487,0.034052178263664246,0.007243441883474588,0.0017427983693778515,1.0,1.0,1.0,1.0,1.0
1600,0.26403379440307617,1.0026566667573764,115.37290477752686,0.21463434398174286,0.0009083346812985837,0.038675494492053986,0.008558209054172039,0.0012574229622259736,1.0,1.0,1.0,1.0,1.0
1700,0.2816019058227539,0.9987117503286026,122.60168361663818,0.21813587844371796,0.025711219757795334,0.02982398308813572,0.006514577195048332,0.0014162440784275532,1.0,1.0,1.0,1.0,1.0
1800,0.2622898519039154,0.9978326955514629,129.85061526298523,0.21264240145683289,0.002847827272489667,0.036549244076013565,0.008629003539681435,0.0016214073402807117,1.0,1.0,1.0,1.0,1.0
