iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,0.9755591750144958,1.099525474852466,0.12386441230773926,0.5442142486572266,0.34553855657577515,0.0181950181722641,0.06635649502277374,0.0012548747472465038,1.0,1.0,1.0,1.0,1.0
100,0.2859359085559845,1.03214530527937,11.490338802337646,0.2271978259086609,0.000317207450279966,0.03668258339166641,0.02075796388089657,0.000980309909209609,1.0,1.0,1.0,1.0,1.0
200,0.24247771501541138,1.0386086435423751,22.57924461364746,0.1976223886013031,8.766778046265244e-05,0.03961731493473053,0.0033974014222621918,0.0017529379110783339,1.0,1.0,1.0,1.0,1.0
300,0.19358380138874054,1.0345992641306017,33.914937257766724,0.13454025983810425,3.8846021197969094e-05,0.0409780815243721,0.0037812190130352974,0.014245390892028809,1.0,1.0,1.0,1.0,1.0
400,0.1667843908071518,1.0141387718773374,45.315650939941406,0.12329575419425964,0.0002383378887316212,0.026058364659547806,0.0012028629425913095,0.015989063307642937,1.0,1.0,1.0,1.0,1.0
500,0.10801372677087784,1.0138554449169597,56.56751537322998,0.07293011248111725,0.00044257001718506217,0.012966834008693695,0.0011364694219082594,0.020537741482257843,1.0,1.0,1.0,1.0,1.0
600,0.07837584614753723,1.0188201494598748,68.51565265655518,0.04735368490219116,0.00040470052044838667,0.010193399153649807,0.0013688886538147926,0.01905517280101776,1.0,1.0,1.0,1.0,1.0
700,0.08144014328718185,1.0170407874536689,80.11610960960388,0.046148527413606644,0.00025794346584007144,0.006181934382766485,0.006375384517014027,0.022476358339190483,1.0,1.0,1.0,1.0,1.0
800,0.06805579364299774,1.0178126247010437,92.08500719070435,0.03497372940182686,0.000249732518568635,0.0043590497225522995,0.00393995875492692,0.02453332394361496,1.0,1.0,1.0,1.0,1.0
900,0.05056186765432358,1.0143545352746626,104.01055932044983,0.023882241919636726,0.0013026132946833968,0.006347352638840675,0.0014919129898771644,0.01753774844110012,1.0,1.0,1.0,1.0,1.0
1000,0.044438835233449936,1.0232407367597474,115.54036831855774,0.015789695084095,0.0017830944852903485,0.004732877481728792,0.0059668682515621185,0.01616629958152771,1.0,1.0,1.0,1.0,1.0
1100,0.03517398238182068,1.0172503163814142,126.88750958442688,0.01296250894665718,0.001058940659277141,0.0024659214541316032,0.0022148762363940477,0.016471732407808304,1.0,1.0,1.0,1.0,1.0
1200,0.03150150924921036,1.018409746481227,138.84547066688538,0.012310036458075047,0.001302309101447463,0.0013528295094147325,0.002279824111610651,0.014256509020924568,1.0,1.0,1.0,1.0,1.0
1300,0.02970140054821968,1.0194135606631824,151.33075189590454,0.006061659660190344,0.0002650395908858627,0.0009631128050386906,0.0077240196987986565,0.014687569811940193,1.0,1.0,1.0,1.0,1.0
1400,0.03582371771335602,1.0074070684426382,163.8503122329712,0.011338422074913979,5.92748801864218e-05,0.002314554527401924,0.001770778326317668,0.020340686663985252,1.0,1.0,1.0,1.0,1.0
1500,0.021207619458436966,1.0104706664164518,176.01231288909912,0.004827289842069149,0.00012124508066335693,0.0009366282029077411,0.001212497241795063,0.014109959825873375,1.0,1.0,1.0,1.0,1.0
1600,0.055721465498209,1.0458904272118914,187.63820004463196,0.008658066391944885,0.007076517678797245,0.0046967132948338985,0.019744426012039185,0.015545743517577648,1.0,1.0,1.0,1.0,1.0
1700,0.022411175072193146,1.0160165771051277,199.60214734077454,0.005908056627959013,7.716169056948274e-05,0.0015960526652634144,0.001293196459300816,0.013536706566810608,1.0,1.0,1.0,1.0,1.0
1800,0.13086605072021484,1.0164839282568658,211.91065621376038,0.013804974034428596,0.0005526553140953183,0.0024001584388315678,0.0997312068939209,0.01437705010175705,1.0,1.0,1.0,1.0,1.0
1900,0.02051200158894062,1.0018580965994819,223.61060070991516,0.00452623562887311,2.710849730647169e-05,0.0012953599216416478,0.0007672219653613865,0.013896076008677483,1.0,1.0,1.0,1.0,1.0
2000,0.013663051649928093,1.0064317287628086,235.5676019191742,0.0015219430206343532,4.570395321934484e-05,0.0002848799340426922,0.0006165428785607219,0.011193981394171715,1.0,1.0,1.0,1.0,1.0
2100,0.014112196862697601,1.009058114049728,247.69312930107117,0.0014369975542649627,7.808621012372896e-05,0.00035893332096748054,0.0006546503282152116,0.01158352941274643,1.0,1.0,1.0,1.0,1.0
2200,0.01573219895362854,1.0105025006843342,259.2131185531616,0.0016115858452394605,0.00010643909627106041,0.0005911830812692642,0.003437682054936886,0.009985309094190598,1.0,1.0,1.0,1.0,1.0
2300,0.016562694683670998,1.0083667496715927,270.91373586654663,0.0019885695073753595,0.0007229817565530539,0.0007213973440229893,0.005861690267920494,0.007268056273460388,1.0,1.0,1.0,1.0,1.0
2400,0.010517342016100883,1.0092464266156551,282.79300832748413,0.0008195950649678707,0.00012172447168268263,0.00040934031130746007,0.00044231166248209774,0.00872437097132206,1.0,1.0,1.0,1.0,1.0
2500,0.00880760420113802,1.0093511806258542,294.9364004135132,0.0007063052617013454,9.128635610977653e-06,0.0003138488973490894,0.00021905395260546356,0.007559267338365316,1.0,1.0,1.0,1.0,1.0
2600,0.031852010637521744,1.0103851791003475,306.3582692146301,0.001161370426416397,0.019278639927506447,0.0005058663082309067,0.0008786945254541934,0.010027439333498478,1.0,1.0,1.0,1.0,1.0
2700,0.010777522809803486,1.0087483307280556,317.879319190979,0.000807635486125946,1.4122286302153952e-05,0.0002002235851250589,0.00040859630098566413,0.009346945211291313,1.0,1.0,1.0,1.0,1.0
2800,0.011219056323170662,1.0088472546085996,329.43190908432007,0.0010455604642629623,5.81906788283959e-05,0.00039606684003956616,0.0008565022144466639,0.008862736634910107,1.0,1.0,1.0,1.0,1.0
2900,0.027018655091524124,1.0042529035772114,341.5106780529022,0.0016247924650087953,0.00010543521057115868,0.0003175937454216182,0.01540419366210699,0.009566639550030231,1.0,1.0,1.0,1.0,1.0
3000,0.008697384037077427,1.0031636070727423,353.71112966537476,0.0005190226365812123,8.924297435441986e-05,0.0005570157081820071,8.231509127654135e-05,0.00744978804141283,1.0,1.0,1.0,1.0,1.0
3100,0.014483785256743431,0.9993283496316476,365.0530695915222,0.001424854388460517,6.626352842431515e-05,0.0007290187058970332,0.004782035015523434,0.007481614127755165,1.0,1.0,1.0,1.0,1.0
3200,0.008786585181951523,0.9974478211616612,376.86423206329346,0.0004234944353811443,3.059934533666819e-05,0.0004875209415331483,0.00035627419129014015,0.0074886963702738285,1.0,1.0,1.0,1.0,1.0
3300,0.011870959773659706,0.9976988138182011,388.3120803833008,0.0008277097367681563,1.8890426872530952e-05,0.00034794159000739455,0.002886697882786393,0.007789719849824905,1.0,1.0,1.0,1.0,1.0
3400,0.010849496349692345,0.9912343509304832,399.9953668117523,0.000901177991181612,2.2962853108765557e-05,0.00046945965732447803,0.00027467048494145274,0.009181225672364235,1.0,1.0,1.0,1.0,1.0
3500,0.009607567451894283,0.9916676976466524,412.177433013916,0.000427928171120584,2.0173531083855778e-05,0.0004584763082675636,0.00011527281458256766,0.008585716597735882,1.0,1.0,1.0,1.0,1.0
3600,0.00921204499900341,0.990585370369006,424.82404613494873,0.0005599946016445756,9.315698662248906e-06,0.0002909274189732969,6.945707718841732e-05,0.00828235037624836,1.0,1.0,1.0,1.0,1.0
3700,0.010599702596664429,0.9907950626955634,436.5003876686096,0.0004293147358112037,1.4246191312849987e-05,0.0003632131265476346,3.991712583228946e-05,0.009753011167049408,1.0,1.0,1.0,1.0,1.0
3800,0.00763112585991621,0.9897386754086687,449.1316523551941,0.0003253383911214769,6.720978126395494e-05,0.00044233640073798597,7.314908725675195e-05,0.006723091937601566,1.0,1.0,1.0,1.0,1.0
3900,0.007202420849353075,0.9884917524098192,461.34658694267273,0.0003453516401350498,6.129285611677915e-05,0.0004649804614018649,0.00014071987243369222,0.006190076004713774,1.0,1.0,1.0,1.0,1.0
4000,0.008485304191708565,0.9873510989527887,473.1407346725464,0.0003531039983499795,9.49034802033566e-06,0.00027082630549557507,0.00010812395339598879,0.007743759546428919,1.0,1.0,1.0,1.0,1.0
