run,mode,arch,ntk,causal,iters,final_rel_L2,train_s
A_fourier_only,2,fourier,False,False,4000,0.987351,468.9
B_fourier_ntk,2,fourier,True,False,4000,0.410813,465.4
C_fourier_causal,2,fourier,False,True,4000,1.052211,3649.0
D_proposed,2,fourier,True,True,4000,1.047307,2529.5
E_wmin0.01,2,fourier,True,True,1000,1.006507,1160.0
E_wmin0.1,2,fourier,True,True,1000,1.006002,649.4
E_wmin0.5,2,fourier,True,True,1000,1.067422,119.8
E_wmin1,2,fourier,True,True,1000,0.916812,122.1
HF_m1_fourier_NTK,1,fourier,True,False,2000,0.011011,247.4
HF_m1_proposed,1,fourier,True,True,2000,0.010782,242.7
HF_m1_vanilla,1,vanilla,False,False,2000,0.702268,134.5
HF_m2_vanilla,2,vanilla,False,False,2000,0.993347,137.3
M1_vanilla,2,vanilla,False,False,4000,0.988642,283.9
M2_fourier,2,fourier,False,False,4000,0.987351,468.9
M3_fourier_ntk,2,fourier,True,False,4000,0.410813,465.4
M4_proposed,2,fourier,True,True,4000,1.047307,2529.5
P_paper_window,1,fourier,True,False,4000,0.967101,480.2
S_sigma1,2,fourier,True,False,1000,0.945542,117.2
S_sigma10,2,fourier,True,False,1000,0.916812,119.3
S_sigma20,2,fourier,True,False,1000,0.936603,116.2
S_sigma40,2,fourier,True,False,1000,0.960346,116.9
S_sigma5,2,fourier,True,False,1000,0.841885,119.0
